playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
dickera01,2011,NYN,NL,59,0,8,0,0,0,2,0,1,11,0,9,0
dicksbr01,2011,SLN,NL,3,2,2,0,0,0,0,0,0,1,0,0,0
difelma01,2011,MIL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
dillati01,2011,MIL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
dinkebr01,2011,MIN,AL,73,5,22,1,0,0,4,2,4,14,1,0,0
dirksan01,2011,DET,AL,219,34,55,13,0,7,28,5,11,36,3,2,0
dobbsgr01,2011,FLO,NL,411,38,113,23,0,8,49,0,22,83,1,2,3
dolisra01,2011,CHN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
dominma01,2011,FLO,NL,45,2,11,4,0,0,2,0,2,8,1,0,0
donalja01,2011,CLE,AL,132,13,42,6,1,1,8,3,7,35,3,0,1
doteloc01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
doubrfe01,2011,BOS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
doumiry01,2011,PIT,NL,218,17,66,12,1,8,30,0,16,35,1,1,0
downsma01,2011,HOU,NL,199,29,55,18,0,10,41,0,17,47,5,0,1
downssc01,2011,LAA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
drabeky01,2011,TOR,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
drewjd01,2011,BOS,AL,248,23,55,6,1,4,22,0,33,58,2,0,3
drewst01,2011,ARI,NL,321,44,81,21,5,5,45,4,30,74,1,1,1
dudalu01,2011,NYN,NL,301,38,88,21,3,10,50,1,33,57,7,1,5
